t,velX,velY,velZ,velAir,vel
0,0.278901,-0.172064,-1.07949,16.0438,16.0438
1,0.320811,-0.362375,-1.11528,15.775,15.775
2,0.362079,-0.534499,-1.14047,15.5862,15.5862
3,0.410652,-0.6651,-1.1204,15.556,15.556
4,0.458374,-0.767396,-1.12253,15.5588,15.5588
5,0.293403,-0.892135,-1.11896,14.9157,14.9157
6,0.127493,-0.939665,-1.06133,14.467,14.467
7,0.0518924,-0.196462,-0.69858,15.8918,15.8918
8,-0.0249425,0.718935,-0.715979,17.9934,17.9934
9,-0.102362,0.828227,-1.01176,17.8968,17.8968
10,-0.367662,0.128361,-0.469539,16.0944,16.0944
11,-0.568014,-0.514441,-1.20645,13.446,13.446
12,-0.545891,-0.599244,-0.976993,13.6129,13.6129
13,-0.515411,-0.630845,-0.862033,13.768,13.768
14,-0.4836,-0.643948,-0.758916,13.9502,13.9502
15,-0.0220658,0.873586,-1.0237,18.1903,18.1903
16,0.506282,-0.762565,-1.06726,15.7704,15.7704
17,0.494338,-0.828395,-1.03549,15.6834,15.6834
18,0.470375,-0.888044,-0.989357,15.5869,15.5869
19,0.446175,-0.920659,-0.949441,15.5194,15.5194
20,0.0394217,-0.916402,-1.05534,14.2784,14.2784
21,-0.338941,-0.665241,-1.29561,13.5225,13.5225
22,-0.631163,0.0872203,-1.79341,14.1296,14.1296
23,-0.716717,-0.0515178,-1.05728,14.3316,14.3316
24,-0.711344,0.0502671,-1.66358,14.0067,14.0067
25,-0.681526,-0.0744957,-1.75,13.6766,13.6766
26,-0.625425,-0.376286,-1.21359,13.6009,13.6009
27,-0.71412,-0.0710913,-1.2829,14.0444,14.0444
28,-0.658241,0.293446,-1.16854,15.1792,15.1792
29,-0.464584,0.622781,-1.05081,16.5747,16.5747
30,-0.500037,0.573227,-1.21905,16.2003,16.2003
31,-0.574138,0.489772,-1.34098,15.7183,15.7183
32,-0.634559,0.388129,-1.36265,15.3026,15.3026
33,-0.679278,0.279696,-1.37592,14.9122,14.9122
34,-0.554546,0.525844,-0.452632,16.886,16.886
35,-0.349775,0.204849,-0.212018,16.735,16.735
36,-0.414381,-0.0799155,-0.354121,15.7442,15.7442
37,-0.483931,-0.296829,-0.394098,15.1328,15.1328
38,-0.573311,-0.435764,-1.14956,13.646,13.646
39,-0.633135,0.140952,-1.69623,14.3388,14.3388
40,-0.679369,0.347358,-0.783922,15.7399,15.7399
41,-0.696853,-0.134284,-0.49009,14.9667,14.9667
42,-0.498002,-0.423898,-0.345113,14.9691,14.9691
43,-0.236097,-0.348267,-0.441389,15.398,15.398
44,0.105836,-0.102554,-0.724993,16.1632,16.1632
45,0.468467,0.216705,-1.08263,17.372,17.372
46,0.384383,-0.15262,-1.12594,16.3191,16.3191
47,0.288175,-0.473057,-1.02852,15.594,15.594
48,0.190561,-0.729777,-0.961338,15.0259,15.0259
49,-0.394074,-0.351578,-0.361455,15.2417,15.2417
50,-0.476483,-0.24725,-0.180347,15.6324,15.6324
51,-0.545728,-0.139646,-0.0801665,15.9334,15.9334
52,-0.603982,-0.0520658,-0.000896344,16.1922,16.1922
53,-0.555897,0.390672,-0.200854,16.9153,16.9153
54,-0.504197,0.591858,-0.915008,16.5607,16.5607
55,-0.396942,0.233285,-0.377086,16.4468,16.4468
56,-0.280599,-0.72543,-0.812428,14.1333,14.1333
57,-0.153617,-0.372666,-1.39862,14.3201,14.3201
58,-0.189446,-0.0462632,-1.3648,14.9455,14.9455
59,-0.222035,0.273696,-1.37877,15.655,15.655
60,-0.254257,0.54563,-1.31855,16.4287,16.4287
61,-0.308368,0.821679,-0.924962,17.6117,17.6117
62,-0.449274,0.639734,-0.745569,16.9908,16.9908
63,-0.568982,0.458443,-0.589168,16.4708,16.4708
64,-0.653559,0.266793,-0.424136,16.0752,16.0752
65,-0.662031,0.317093,-0.951556,15.4754,15.4754
66,-0.672091,0.231259,-1.47941,14.6972,14.6972
67,-0.68079,0.0999601,-1.81475,14.0706,14.0706
68,-0.702699,0.054857,-1.88254,13.8722,13.8722
69,-0.699141,0.0519989,-1.88696,13.8673,13.8673
70,-0.691243,0.0347722,-1.20618,14.4122,14.4122
71,-0.690523,0.0776058,-0.0880613,16.1731,16.1731
72,-0.607472,0.338098,-1.8904,14.7992,14.7992
73,-0.338736,-0.736026,-1.36288,13.3414,13.3414
74,-0.479179,-0.0743482,-1.59606,14.1348,14.1348
75,-0.568578,0.533882,-1.08294,16.1064,16.1064
76,-0.640898,0.167158,-0.0394547,16.5444,16.5444
77,-0.658789,-0.357975,-0.978887,13.8602,13.8602
78,-0.128767,-0.468683,-1.38184,14.2161,14.2161
79,0.629073,0.484969,-0.737758,18.8303,18.8303
80,0.835325,0.480878,-0.726263,19.4533,19.4533
81,1.00179,0.416756,-0.607596,19.9842,19.9842
82,0.996645,0.28839,-0.497833,19.8111,19.8111
83,0.988391,0.154068,-0.455757,19.5597,19.5597
84,1.04002,-0.517383,-0.599495,18.4794,18.4794
85,1.09052,-0.282097,-1.59015,18.1219,18.1219
86,1.13247,0.323059,-1.56779,19.4439,19.4439
87,1.22299,0.199413,-1.30783,19.7141,19.7141
88,1.24642,-0.0281091,-0.892017,19.7284,19.7284
89,1.20877,-0.237592,-0.493372,19.6721,19.6721
90,1.13413,-0.403968,-0.902632,18.6696,18.6696
91,1.03633,-0.498736,-1.26124,17.8211,17.8211
92,0.753031,-0.423025,-1.30568,16.8396,16.8396
93,0.389916,-0.0194524,-1.02624,16.697,16.697
94,0.0242769,-0.282461,-0.720851,15.6394,15.6394
95,-0.304718,-0.420556,-0.475197,15.0868,15.0868
96,-0.352217,-0.461666,-0.531777,14.8365,14.8365
97,-0.395808,-0.488986,-0.538257,14.701,14.701
98,-0.185508,-0.819529,-0.809565,14.2004,14.2004
99,0.0339933,-0.890623,-0.99086,14.375,14.375
100,0.265371,-0.638376,-0.927105,15.3958,15.3958
101,0.621541,-0.197792,-0.539724,17.602,17.602
